state,county,site,date,OC PM2.5 LC TOR,OC PM2.5 LC TOT
06,029,0014,2022-05-20,1.977,1.92313
06,029,0014,2022-05-23,2.784,2.891315
06,029,0014,2022-05-26,3.458,3.38687
06,029,0014,2022-05-29,0.978,1.01701
06,037,1103,2022-01-02,2.749,3.08589
06,037,1103,2022-01-05,4.699,4.98801
06,037,1103,2022-01-08,2.835,3.21838
06,037,1103,2022-01-11,2.056,2.23074
06,037,1103,2022-01-14,4.521,4.96513
06,037,1103,2022-01-17,2.884,3.14681
06,037,1103,2022-01-26,2.98,3.17156
06,037,1103,2022-01-29,3.07,3.32481
06,037,1103,2022-02-04,2.891,3.1126
06,037,1103,2022-02-07,2.698,2.94575
06,037,1103,2022-02-10,2.553,2.66057
06,037,1103,2022-02-13,2.643,2.83161
06,037,1103,2022-02-16,1.662,1.71868
06,037,1103,2022-02-19,2.716,2.86628
06,037,1103,2022-02-25,2.481,2.69591
06,037,1103,2022-02-28,2.484,2.69341
06,037,1103,2022-03-03,3.157,3.37379
06,037,1103,2022-03-06,1.958,2.10095
06,037,1103,2022-03-09,1.879,2.07775
06,037,1103,2022-03-12,2.087,2.2862
06,037,1103,2022-03-15,2.741,2.91224
06,037,1103,2022-03-18,2.477,2.66513
06,037,1103,2022-03-21,2.082,2.13957
06,037,1103,2022-03-24,2.352,2.54799
06,037,1103,2022-03-27,1.025,1.07302
06,037,1103,2022-03-30,1.575,1.67126
06,037,1103,2022-04-02,1.542,1.67377
06,037,1103,2022-04-05,2.63,2.9097
06,037,1103,2022-04-08,1.01,1.0559
06,037,1103,2022-04-11,2.496,2.63772
06,037,1103,2022-04-14,1.557,1.62163
06,037,1103,2022-04-17,1.229,1.27394
06,037,1103,2022-04-20,0.854,0.89125
06,037,1103,2022-04-23,1.781,1.91207
06,037,1103,2022-04-26,2.269,2.34201
06,037,1103,2022-04-29,2.023,2.15213
06,037,1103,2022-05-02,1.599,1.66348
06,037,1103,2022-05-05,2.294,2.44875
06,037,1103,2022-05-08,1.041,1.07051
06,037,1103,2022-05-11,1.234,1.28532
06,037,1103,2022-05-14,3.391,3.64863
06,037,1103,2022-05-17,1.551,1.63698
06,037,1103,2022-05-20,1.01,1.06664
06,037,1103,2022-05-23,1.665,1.7806
06,037,1103,2022-05-26,1.633,1.76957
06,037,1103,2022-05-29,0.974,1.05085
06,065,8001,2022-01-02,1.8,2.02851
06,065,8001,2022-01-05,3.927,4.152315
06,065,8001,2022-01-08,4.087,4.51639
06,065,8001,2022-01-11,0.8694999999999999,0.950265
06,065,8001,2022-01-14,2.386,2.49925
06,065,8001,2022-01-17,3.3525,3.668705
06,065,8001,2022-01-20,2.054,2.23582
06,065,8001,2022-01-23,1.129,1.230785
06,065,8001,2022-01-26,0.679,0.72041
06,065,8001,2022-01-29,1.5565,1.709755
06,065,8001,2022-02-01,3.374,3.67382
06,065,8001,2022-02-04,1.0385,1.07198
06,065,8001,2022-02-07,1.596,1.71828
06,065,8001,2022-02-10,0.6375,0.6489
06,065,8001,2022-02-13,2.732,2.97684
06,065,8001,2022-02-16,1.4275,1.510865
06,065,8001,2022-02-19,3.463,3.73053
06,065,8001,2022-02-22,0.8915,0.92806
06,065,8001,2022-02-25,2.574,2.85549
06,065,8001,2022-02-28,1.0185,1.121705
06,065,8001,2022-03-03,2.659,2.87321
06,065,8001,2022-03-06,2.287,2.532385
06,065,8001,2022-03-09,2.164,2.30642
06,065,8001,2022-03-12,2.665,2.92905
06,065,8001,2022-03-15,3.254,3.37838
06,065,8001,2022-03-18,2.5195,2.750175
06,065,8001,2022-03-21,1.69,1.75791
06,065,8001,2022-03-24,2.5995,2.81058
06,065,8001,2022-03-27,1.687,1.76569
06,065,8001,2022-04-02,2.431,2.63717
06,065,8001,2022-04-05,3.6035,3.93285
06,065,8001,2022-04-08,2.018,2.1073
06,065,8001,2022-04-11,1.201,1.2313900000000002
06,065,8001,2022-04-14,2.048,2.1824
06,065,8001,2022-04-17,1.7469999999999999,2.0204
06,065,8001,2022-04-20,0.954,0.98623
06,065,8001,2022-04-23,1.4465,1.552265
06,065,8001,2022-04-26,2.611,2.72097
06,065,8001,2022-04-29,2.463,2.6681850000000003
06,065,8001,2022-05-02,2.263,2.35151
06,065,8001,2022-05-05,3.028,3.258035
06,065,8001,2022-05-08,1.012,1.02347
06,065,8001,2022-05-11,1.5025,1.63575
06,065,8001,2022-05-14,3.26,3.64589
06,065,8001,2022-05-17,2.002,2.09104
06,065,8001,2022-05-20,1.115,1.19467
06,065,8001,2022-05-23,1.8915000000000002,2.0058800000000003
06,065,8001,2022-05-26,2.147,2.27113
06,065,8001,2022-05-29,1.185,1.326415
06,067,0006,2022-01-02,10.158,11.13795
06,067,0006,2022-01-05,0.727,0.93329
06,067,0006,2022-01-08,3.152,3.76885
06,067,0006,2022-01-11,7.774,8.80505
06,067,0006,2022-01-14,7.02,8.19474
06,067,0006,2022-01-17,13.914,15.34585
06,067,0006,2022-01-20,7.585,9.04219
06,067,0006,2022-01-23,11.401,12.57967
06,067,0006,2022-01-26,5.843,7.12828
06,067,0006,2022-01-29,7.587,9.65769
06,067,0006,2022-02-01,0.795,0.79536
06,067,0006,2022-02-04,8.474,10.85164
06,067,0006,2022-02-07,7.277,10.30076
06,067,0006,2022-02-10,4.183,4.3325
06,067,0006,2022-02-13,7.036,7.45049
06,067,0006,2022-02-16,0.9,0.90025
06,067,0006,2022-02-19,7.262,7.44031
06,067,0006,2022-02-22,1.096,1.09593
06,067,0006,2022-02-25,7.984,7.98445
06,067,0006,2022-02-28,5.245,5.24496
06,067,0006,2022-03-03,2.369,2.3692
06,067,0006,2022-03-06,6.195,6.19453
